energy,delta,sigma_ratio
0.500000,0.050000,1.102500
0.545455,0.050000,1.102500
0.590909,0.050000,1.102500
0.636364,0.050000,1.102500
0.681818,0.050000,1.102500
0.727273,0.050000,1.102500
0.772727,0.050000,1.102500
0.818182,0.050000,1.102500
0.863636,0.050000,1.102500
0.909091,0.050000,1.102500
0.954545,0.050000,1.102500
1.000000,0.050000,1.102500
1.045455,0.050000,1.102500
1.090909,0.050000,1.102500
1.136364,0.050000,1.102500
1.181818,0.050000,1.102500
1.227273,0.050000,1.102500
1.272727,0.050000,1.102500
1.318182,0.050000,1.102500
1.363636,0.050000,1.102500
1.409091,0.050000,1.102500
1.454545,0.050000,1.102500
1.500000,0.050000,1.102500
1.545455,0.050000,1.102500
1.590909,0.050000,1.102500
1.636364,0.050000,1.102500
1.681818,0.050000,1.102500
1.727273,0.050000,1.102500
1.772727,0.050000,1.102500
1.818182,0.050000,1.102500
1.863636,0.050000,1.102500
1.909091,0.050000,1.102500
1.954545,0.050000,1.102500
2.000000,0.050000,1.102500
2.045455,0.050000,1.102500
2.090909,0.050000,1.102500
2.136364,0.050000,1.102500
2.181818,0.050000,1.102500
2.227273,0.050000,1.102500
2.272727,0.050000,1.102500
2.318182,0.050000,1.102500
2.363636,0.050000,1.102500
2.409091,0.050000,1.102500
2.454545,0.050000,1.102500
2.500000,0.050000,1.102500
2.545455,0.050000,1.102500
2.590909,0.050000,1.102500
2.636364,0.050000,1.102500
2.681818,0.050000,1.102500
2.727273,0.050000,1.102500
2.772727,0.050000,1.102500
2.818182,0.050000,1.102500
2.863636,0.050000,1.102500
2.909091,0.050000,1.102500
2.954545,0.050000,1.102500
3.000000,0.050000,1.102500
3.045455,0.050000,1.102500
3.090909,0.050000,1.102500
3.136364,0.050000,1.102500
3.181818,0.050000,1.102500
3.227273,0.050000,1.102500
3.272727,0.050000,1.102500
3.318182,0.050000,1.102500
3.363636,0.050000,1.102500
3.409091,0.050000,1.102500
3.454545,0.050000,1.102500
3.500000,0.050000,1.102500
3.545455,0.050000,1.102500
3.590909,0.050000,1.102500
3.636364,0.050000,1.102500
3.681818,0.050000,1.102500
3.727273,0.050000,1.102500
3.772727,0.050000,1.102500
3.818182,0.050000,1.102500
3.863636,0.050000,1.102500
3.909091,0.050000,1.102500
3.954545,0.050000,1.102500
4.000000,0.050000,1.102500
4.045455,0.050000,1.102500
4.090909,0.050000,1.102500
4.136364,0.050000,1.102500
4.181818,0.050000,1.102500
4.227273,0.050000,1.102500
4.272727,0.050000,1.102500
4.318182,0.050000,1.102500
4.363636,0.050000,1.102500
4.409091,0.050000,1.102500
4.454545,0.050000,1.102500
4.500000,0.050000,1.102500
4.545455,0.050000,1.102500
4.590909,0.050000,1.102500
4.636364,0.050000,1.102500
4.681818,0.050000,1.102500
4.727273,0.050000,1.102500
4.772727,0.050000,1.102500
4.818182,0.050000,1.102500
4.863636,0.050000,1.102500
4.909091,0.050000,1.102500
4.954545,0.050000,1.102500
5.000000,0.050000,1.102500
